name,category_address,phone,website,email,linkedin
Internet Soft | Software Development Company in California,"6203 San Ignacio Ave #110, San Jose, CA 95119, United States",calendly.com,https://internetsoft.com/software-development-company-in-california,sales@internetsoft.com,https://www.linkedin.com/company/internetsoft/
Ultimate Software Developer - IT Consulting Company,"20100 S Western Ave Unit R108, Torrance, CA 90501, United States",Located in: Cubework,https://ultimate.software/,info@ultimate.software,
"Bitcot - Web, Apps, AI & Automation Solutions","16870 W Bernardo Dr #400, San Diego, CA 92127, United States",Floor 1 · the bluffs at rancho bernardo,https://www.bitcot.com/,support@bitcot.com,https://www.linkedin.com/company/bitcot/
Koderspedia - Mobile App Development Company California,"228 Hamilton Ave 3rd floor, Palo Alto, CA 94301, United States",koderspedia.com,http://www.koderspedia.com/,connect@koderspedia.com,https://www.linkedin.com/company/koderspedia
Azumo,"50-60 Francisco St, San Francisco, CA 94133, United States",Floor 1 · Waterfront Plaza,https://azumo.com/,hello@azumo.co,https://www.linkedin.com/company/azumo-llc/
Rushkar - Software Developer California,"201 E Center St Ste 112 PMB 3068, Anaheim, CA 92805, United States",rushkar.com,https://rushkar.com/,hrteam@rushkar.com,https://www.linkedin.com/company/rushkar-enterprise/
TATEEDA | GLOBAL,"7220 Trade St #103, San Diego, CA 92121, United States",Floor 1 · Sorrento Ridge Corporate Center,https://tateeda.com/,home-hero-image@2x-scaled.jpg,https://www.linkedin.com/company/tateedaglobal/
Zaytech,"230 Sterling Dr Suite 260, Mountain House, CA 95391, United States",zaytech.com,https://www.zaytech.com/,support@zaytech.com,https://www.linkedin.com/company/zaytech/
Devaims - Software Development Services in Sacramento CA,"5960 S Land Park Dr, Sacramento, CA 95822, United States",Located in: South Hills Shopping Center,https://devaims.com/?utm_source=google&utm_medium=gmb&utm_campaign=google_business_profile&utm_term=sacramento_ca,,https://www.linkedin.com/company/devaims-solutions
Devaims - Software Development Services in Fresno CA,"1099 E Champlain Dr A, Fresno, CA 93720, United States",Located in: Washington Square,https://devaims.com/?utm_source=google&utm_medium=gmb&utm_campaign=google_business_profile&utm_term=fresno_ca,,https://www.linkedin.com/company/devaims-solutions
Bixly,"2727 N Grove Industrial Dr #105, Fresno, CA 93727, United States",Located in: Maximus Media Inc,http://bixly.com/,,
Diffco,"333 W San Carlos St #600, San Jose, CA 95110, United States",Floor 1 · Riverpark Tower,http://diffco.us/,flashgrid-logo@2x-300x109.webp,https://linkedin.com/company/diffco
Famous Software,"8080 N Palm Ave #210, Fresno, CA 93711, United States",famoussoftware.com,http://www.famoussoftware.com/,support@famoussoftware.com,https://www.linkedin.com/company/famous-software/
Bluestone Apps,"2600 Ventura St, Fresno, CA 93721, United States",bluestoneapps.com,https://bluestoneapps.com/mobile-app-developer-fresno-ca/,hello@bluestoneapps.com,https://www.linkedin.com/company/bluestone-apps
Wall Street Mobile Apps,"4900 California Ave, Bakersfield, CA 93309, United States",Floor 1 · Cal Twin Towers,https://www.wallstreetmobileapps.com/,sales@wallstreetmobileapps.com,https://www.linkedin.com/company/92550792
"Cultivated Technology Group, Inc.","401 W Fallbrook Ave Suite 205, Fresno, CA 93711, United States",cultivatedtg.com,https://cultivatedtg.com/,hello@cultivatedtg.com,https://www.linkedin.com/company/cultivatedtg/
Core Software Integrated USA,"2555 E Perrin Ave #110, Fresno, CA 93720, United States",coresoftint.co,http://www.coresoftint.co/,,
Red Cubez,"Suite 401-403, Crescent Heights, 67-A, Bahria Town Phase IV Civic Center Islamabad, Pakistan",redcubez.com,https://www.redcubez.com/,hello@redcubez.com,
Hajana Technologies,"439 W Audubon Dr, Fresno, CA 93711, United States",hajanatechnologies.com,https://hajanatechnologies.com/,info@hajanatechnologies.com,https://www.linkedin.com/company/hajana-technologies/
TELUS Agriculture & Consumer Goods,"352 W Spruce Ave, Clovis, CA 93611, United States",telus.com,https://www.telus.com/agcg/agribusiness,,https://px.ads.linkedin.com/collect/?pid=2772308&amp;fmt=gif
Argos Software,"7060 N Fresno St Suite 210, Fresno, CA 93720, United States",argosoftware.com,http://www.argosoftware.com/,,https://www.linkedin.com/company/argos-software-inc/
Aplos,"8839 N Cedar Ave B-4 {PMB} #5007, Fresno, CA 93720, United States",aplos.com,https://www.aplos.com/,support@aplos.com,https://www.linkedin.com/company/aplos-software-llc/
ioApex Software Engineering,"8050 N Palm Ave, Fresno, CA 93711, United States",ioapex.com,http://www.ioapex.com/,,
Tri Star Software Inc,"7350 Morro Rd, Atascadero, CA 93422, United States",tristarsoftware.com,https://tristarsoftware.com/,alex@gmail.com,https://www.linkedin.com/company/tristar-software/
"Redcort Software, Inc.","619 Woodworth Ave # 200, Clovis, CA 93612, United States",redcort.com,https://www.redcort.com/,,https://www.linkedin.com/company/redcort-software
Paradise Software Solutions,"259 W Ridgepoint Dr, Fresno, CA 93711, United States",+1 877-782-0372,,,
The Great Information Factory,"631 Lovers Ln, Visalia, CA 93292, United States",+1 559-739-8443,,,
OptiSoft Systems,"5821 W Vine Ave, Visalia, CA 93291, United States",optisoftsystems.com,https://optisoftsystems.com/,,
ASNSoftware,"555 Herndon Ave, Clovis, CA 93612, United States",asnsoftware.com,http://www.asnsoftware.com/,info@asnsoftware.com,
Cyber Puzzle Net,"2810 E Jensen Ave, Fresno, CA 93706, United States",cyberpuzzlenet.com,https://cyberpuzzlenet.com/,info@cyberpuzzlenet.com,https://www.linkedin.com/in/cyberpuzzlenet/
Reliable Business Technology,"2050 N Winery Ave Suite 103, Fresno, CA 93703, United States",Located in: University Village,http://www.rbtcompany.com/,info@rbtcompany.com,https://www.linkedin.com/company/3570134/admin/
Trucksoft,"2020 W Whitendale Ave, Visalia, CA 93277, United States",trucksoft.com,http://trucksoft.com/,info@trucksoft.com,
Qualimatrix Technologies Pvt Ltd,"4900 California Ave, Bakersfield, CA 93309, United States",Floor 1 · Cal Twin Towers,https://qualimatrix.tech/,support@qualimatrix.tech,https://px.ads.linkedin.com/collect/?pid=8551497&amp;fmt=gif
EzDATAfind,"218 N Conyer St suite e, Visalia, CA 93291, United States",ezdatafind.com,http://ezdatafind.com/,info@ezdatafind.com,
Allurasoft Pvt Ltd,"2nd Floor, Al Karam Plaza, F-11 Markaz F 11 Markaz F-11, Islamabad, 45200, Pakistan",allurasoft.com,https://www.allurasoft.com/,,https://linkedin.com/company/allurasoft
EZ ELD Solutions Inc,"2301 W Belmont Ave, Fresno, CA 93728, United States",ezeldsolutions.com,https://www.ezeldsolutions.com/,sales@ezeldsolutions.com,
O CLOCK SOFTWARE INC,"192 Athens Ave, Clovis, CA 93611, United States",oclocksoftware.com,https://www.oclocksoftware.com/,sales@oclocksoftware.com,https://www.linkedin.com/company/oclocksoftware/mycompany/?viewAsMember=true
Techno Pixelss,"Block F New Katarian Satellite Town, Rawalpindi, 46000, Pakistan",+92 332 8544901,,,
